,GDP(SA)(Q),GDP(NSA)(Q),Private consumption(SA)(Q),Government consumption(SA)(Q),Construction(SA)(Q),Facility investment(SA)(Q),Exports of goods and services(SA)(Q),Imports of goods and services(SA)(Q),Private consumption(NSA)(Q),Government consumption(NSA)(Q),Construction(NSA)(Q),Facility investment(NSA)(Q),Exports of goods and services(NSA)(Q),Imports of goods and services(NSA)(Q),Unemployment rate,Employment to population ratio,Number of employed people,Monthly goods exports,Monthly goods imports,Export price index,Import price index,Producer price index,Consumer price index,Price index excluding agricultural product & oil,Price index excluding food & energy,Consumption & Retail sales index(SA),Service industry production index(SA),Consumption & Retail sales index(NSA),Service industry production index(NSA),Manufacturing industry production index(SA),Manufacturing industry shipment index(SA),Manufacturing inventory index(SA),Manufacturing industry production index(NSA),Manufacturing industry shipment index(NSA),Manufacturing inventory index(NSA),Facility investment index(SA),Construction completed(SA),Facility investment index(NSA),Construction completed(NSA),Manufacturing business performance BSI(SA),Manufacturing business performance BSI(NSA),All industries performance BSI,Service industry performance BSI,All industries sales BSI,Manufacturing export BSI,Manufacturing domestic demand sales BSI,Manufacturing new orders BSI,Manufacturing operation rate BSI,Economic sentiment index,Current economic judgment CSI,Consumer sentiment index,Consolidated fiscal balance,Housing sales price index(HSPI)-Seoul,Housing sales price index(HSPI)-National,Housing lease price index(HLPI)-Seoul,Housing lease price index(HLPI)-National,Call rate,CD rate,KTB 3-year rate,KRW exchange rate,EUR exchange rate,KOSPI,KOSDAQ,Dubai crude oil,WTI futures,Gold futures,Production(T),Shipbuilding(T),Automotive(T),Semiconductor(T),Facility investment(T),Construction(T),Unemployment(T),Recruitment(T),Job search(T),Wholesale & retail(T),Government expenditure(T),Price outlook(T),Stock price outlook(T),House price outlook(T),World trade(T),News sentiment index(T),Economic policy uncertainty(T)
2005-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02,,,,,,,,,,,,,,,-4.596980960296378,0.1264907622169175,0.2287334330127777,-3.1426416955161613,1.695610018308443,-0.9790196344519444,-0.4012478227262335,0.1274579602046799,0.2491479897136912,0.1480252558259565,0.0613949607801771,1.302931596091213,0.7462686567164099,,,-2.699877501020822,-2.6190910750136998,-1.2588844717503918,,,,-3.397341211225992,-2.651550246130228,,,6.493506493506487,,4.426912825437256,4.426912825437256,3.9041190878097183,1.373208240800892,2.13465721556922,1.3601349504797042,2.0353446464773697,9.573126090821816,18.871799067831677,7.248766844210294,-0.0382196180852218,0.7461301669303282,0.4158310978724415,0.1472778021518905,0.2362102484698738,0.0836536155772762,3.93440803983313,18.979345921217188,-1.1795915821897722,-0.2537200993268556,8.11178397803323,15.74866544711216,1.2320854366225689,-0.0038521608685186,-2.204063272327744,,,,,,,,,,,,,,,,,
2005-03,0.9,3.0,0.963685462093423,1.196897075040113,-0.2388416452647703,2.0961588967678466,1.0171538362462798,-2.0290505959743115,2.3087159284411314,4.768609553403081,-2.473377881166656,1.57688985862994,4.703496062992116,4.401580641591934,-0.9069690977764822,0.0214197420724815,0.3101007926681092,-0.2724790982873628,10.169371476700988,-2.718924932097736,-0.8841705016705532,-0.1869740615770894,0.1676844893699751,0.1149610676925334,0.0249366805431776,0.8038585209003202,-0.1481481481481381,,,3.2851003827301355,1.7602224096461043,1.124463693853059,,,,-1.5290519877675877,7.131308103662533,,,1.2195121951219503,,6.036183561812976,6.036183561812976,-1.0091994311636654,-2.756251036477522,1.1353453860787963,0.4812398892082967,1.0370107909942303,1.9029956230865963,7.03478667019462,2.438992538876377,-0.1913880301981976,0.3828485301565081,0.3943273863580572,-0.2532264733743545,0.2941973769192287,-0.1016271206445651,0.7586427129120636,-3.998413935806738,-2.387680223525137,-0.569914548994646,5.19640683112894,-6.679480304961444,5.450811161769067,0.0199077154004356,5.221596271097482,,,,,,,,,,,,,,,,,
2005-04,,,,,,,,,,,,,,,-1.458609989765819,-0.0585203855351181,-0.1640499608061958,-1.752254631145803,-5.273756405720931,-1.1500769439383305,-0.2393108800606143,-0.2715479738795636,0.040508277300205,0.0640969447956933,0.1647343089763211,0.9569377990430468,-0.1483679525222641,,,-2.241219587511594,-0.8165395300293312,1.9786053245395292,,,,-4.8136645962732985,1.132370921245979,,,-1.2048192771084416,,-3.039200709491581,-3.039200709491581,-0.3793437904211885,-2.3983062603846577,0.3423892548766787,-1.0276747471051235,-0.1930275324436223,-0.4918823866755843,-2.102724915722362,-1.2522447125954557,-0.453970802515542,0.4523544044299683,0.4171801481394794,-0.0587666816263237,0.1906702603653656,0.4070782490886131,-0.2966060792656861,-4.431637669623584,0.7698135196029625,-2.8520543077153206,-10.087357456608204,-8.27302235753551,-9.88783285193145,-0.0572093699863529,-4.093109148366921,,,,,,,,,,,,,,,,,
2005-05,,,,,,,,,,,,,,,-1.5638320205397631,-0.0009683343256767,0.0583934928345826,-3.59708495217572,-0.7323540953702832,-2.46223898725465,-2.0394888057363403,-0.9915072810580768,-0.0941014626102401,0.0560751023417083,0.0602460984096637,0.0,0.2971768202080227,,,-0.8694929343308218,-0.6189938255365774,0.1498540894392448,,,,1.3050570962479782,1.3980287602600328,,,-1.2195121951219503,,-2.6667823184686483,-2.6667823184686483,1.194914492435501,-2.372245416788587,-0.2757284704648555,-0.4027924228606991,-0.6340283660876338,-2.6890799397670406,-3.7276279077882606,-2.3442895953836143,0.5702854328923479,0.7805408667197042,0.5183712148106423,0.013497598718331,0.2892461428661619,1.4356843315150627,-0.0659807041557201,-3.611279483202523,-0.5571701258566719,-2.667875222709995,-2.849302157499423,-4.112782236901751,-6.581761623327125,-0.0417655409701041,3.4164331015933698,-0.0932240256405521,-1.2883289733874363,-0.0514366563766941,-0.0754226683158805,-0.5248346589830248,0.2395454336846256,0.1694021335963924,-0.0217227199050853,0.0672247987342729,1.2591589290049257,0.1360142973768177,-0.0254256850252119,-0.1892500508803749,0.0405657068144478,-0.1733641941152797,0.02027839768202,0.0182946402154158
2005-06,1.9,3.9,2.3630644189045,1.5171989674955313,4.098066668001806,-0.5406395242372213,3.493310843136712,5.314166575760225,4.76780986579837,5.203652206684282,1.1199709441500405,1.2125409879184303,5.582716534626144,8.598344622343618,-0.2935822863702242,-0.0398186579685102,0.0368618940477176,2.7291444074150064,3.044062571709702,-0.4073969813102991,1.0831579088105912,-0.3563579378380694,-0.0157632313711957,-0.0336387804516533,0.1360591814392791,0.4739336492891084,1.1851851851851762,,,0.7395978331963704,2.2656140514784937,-2.370452039691301,,,,5.636070853462144,0.1853950608060586,,,1.2345679012345698,,-1.3738393002448674,-1.3738393002448674,-3.3449868641590825,1.34722976773989,-2.3099230656168857,-0.2843395741220718,-0.9839764344330176,0.6917011185857689,1.117789857386242,0.2142970189556052,-0.1724772937904362,0.8819988499862035,0.7882154742492133,0.2909726462795277,0.3689265649135791,-0.1622309721020229,0.0018444143370004,-1.0349354469264256,-0.2943174131585238,-2.652722325370988,3.814277636897657,11.870990318871575,9.093238560141373,0.0307801663720397,5.682638953234374,-0.2237723660498147,-1.4366107156246386,-0.0493211834392752,0.0768354412627161,-0.2044323875421412,0.2777889983194939,-0.095060261833666,-0.1141624626876307,-0.1596854557625704,0.093092527955136,0.0777298294988924,-0.0904727433354111,-0.0893629069016981,0.2425790770671767,-0.5111639892474358,0.0240066690363534,0.0438013714193488
2005-07,,,,,,,,,,,,,,,0.9360205163364128,-0.0110026439682826,0.1072461586502697,4.881724675359919,0.452575689275875,1.751636340492027,2.165548367421337,0.3956461404760318,0.2430236916146384,0.011912799074139,0.0540485468437594,0.786163522012572,0.2928257686676545,,,0.9322767530132552,0.3121383762713918,0.8913446801645648,,,,2.74390243902441,-2.115973188479842,,,-1.2195121951219503,,0.4434808551572615,0.4434808551572615,1.9428385511449024,1.5257430916550732,3.189701485975462,-1.60473621014296,-1.0435998223465075,-2.623291451920068,-4.343530869453289,-1.5345330376768942,-0.23792827584424,1.3941566053483427,0.8848543862018659,0.2573067348295552,0.3969831294538437,-0.7102588440262281,-0.8605206468431987,5.664342593677191,3.199990909766754,-1.0107860689602148,10.716626964265714,9.089200729981812,3.294642679752414,0.013470641417328,-0.4164845926107006,0.0685374294366027,-0.8125991276758953,0.2960239715234678,0.1151942910614565,-0.0074404386798221,0.0665493094803082,0.2491267945338648,0.0512815497271788,-0.1325153934837857,0.8932761373256852,0.1587420940089003,-0.110840758095108,0.2590260263427808,-0.1543591414858554,0.3874656169545289,0.0124187563783664,-0.0390157658769396
2005-08,,,,,,,,,,,,,,,-0.2118973775256449,-0.3142768371394879,-0.1941275618022331,0.4270437985318409,1.3906229891071715,-1.7854900866218628,1.459527352021084,0.294323639596854,0.3117664827841082,0.192739976806493,0.2796034503095939,0.3120124804992343,0.5839416058394278,,,0.5327571419146295,0.2959882211866897,-1.686987807315603,,,,-1.4836795252225414,0.6296091183230317,,,2.46913580246914,,1.1246418874770967,1.1246418874770967,0.3971136510482154,-0.2425609170580003,-0.1321612285730111,1.984297555204435,0.5842778989625117,2.85928527934918,2.058796195510197,1.958506903154117,0.4459983024940754,0.9104902383133292,0.6678745014164065,0.2440060975807796,0.0605741840300027,-1.7145691948553718,-2.8213815727065423,6.472713627541509,-2.592502996999542,1.9657867318942264,2.5738852721322303,4.215839436576459,12.313827643667423,0.0754644411842235,5.795592169689371,0.1234953095086126,0.1441580122324808,0.1300027417842955,-0.0291828671963259,-0.0328735948566389,-0.1472871402544768,-0.2210322240707114,0.0137194294052278,-0.1270382354612138,-0.610258621954145,-0.0911404788141823,0.0609055117428738,0.0667242946583428,-0.1231463110211308,0.5059768825775564,-0.0036548130422602,0.0517398477895056
2005-09,1.5,5.0,1.2411904144429542,2.0067804896193597,-1.7435393376334505,1.55533539659298,3.665986629066808,1.9482945439605717,5.807979972482855,5.569370900862609,0.1132894635421166,3.7161056993312087,9.87154081765307,12.708043773048132,4.664330696926953,0.2406731401840574,0.3640668465321255,0.5092237659367242,2.003105291139491,1.0289336719137054,1.932142104872668,0.4760316715339172,0.3483182507506512,0.1884222275168952,0.0990581654964728,0.3110419906687411,-0.145137880986951,,,0.2116454200915569,-0.0923179369211197,2.2343756353433832,,,,-3.162650602409656,-0.5884595249382869,,,-1.2048192771084416,,1.6138135764187211,1.6138135764187211,1.6200930337745234,-2.201349047874203,3.855920341511237,2.2804239629550977,1.1433568060367634,2.296920044291312,3.4454715027307543,2.2579768496179757,0.509315209171163,0.253134876912668,0.1271870826607255,0.8777413859472887,0.7831348271965197,0.0518318419387497,5.35353698397833,5.108504568006552,0.9684717170954826,0.3647616459973193,4.561472432520432,1.19883208847223,10.310845334307956,0.0515889736644226,4.441937196679731,0.2397026470590333,0.7399120823944116,0.1793137628292953,-0.0153954137100953,-0.0856773071472076,-0.0418424273824484,0.0617063315184083,-0.0087673864725701,0.1186926656265399,-0.2392023719207969,-0.1322823183897981,0.1025024179750033,0.1495655172670638,-0.4783804533198292,0.0890015444205261,0.0371102503408167,-0.035233751930491
2005-10,,,,,,,,,,,,,,,-1.930840711519096,0.0420877028555821,0.1382812066106566,4.474451582573863,3.811105235794088,1.1040369205993272,0.6592999022215622,0.6441577810334422,0.1333648474946898,0.1556443316854512,0.1411889428802055,0.1550387596899156,0.4360465116278931,,,3.654223968565802,2.096493221237594,-0.8252958138609898,,,,5.132192846034215,-2.0207162721681726,,,3.658536585365852,,1.9556426916856824,1.9556426916856824,1.5443904301940563,3.228107697225809,1.1875761131657754,2.768115680409906,1.7858954565651857,-1.3801010680181207,-1.9453793164073967,-0.5633047532495254,-0.3673242441144424,0.1928921533620382,0.0658842407187165,0.4992326328271161,0.3551735867513059,6.682449482493951,6.125001603773143,6.136381508070173,1.6973586553096285,-1.0416909967290735,5.15464741735336,10.53292032678182,1.3775873332491957,0.0031176755084914,3.003045890950091,0.1597455044363585,1.158686028617879,-0.1499487317484948,0.0016003579600578,0.3739156774531267,-0.2765112713708788,-0.1564161546774585,0.0162440775966103,-0.1017528050224996,-0.5170523763737549,0.0056419491964305,0.1691665159478503,-0.0936872386365337,-0.0051792992947241,0.5677090840098913,0.0044938200857984,-0.0291550081835509
